slug,route,source_file,title,date,year,publication,article_category,collections,publication_status,editorial_issue_type,canonical_file,production_title,book_author,publisher,subject_people,company,venue,city,coordinates,people,roles,production_groups,media,word_count
1980-03-16-two-of-the-best,/reviews/1980-03-16-two-of-the-best/,1980.03.16.The_Observer.Two_Of_The_Best.md,Two Of The Best,1980-03-16,1980,The Observer,Profile,"[""UK Collection""]",publish,clean_manual_transcription,,On the Twentieth Century; Twentieth Century; The Front Page; Singin' in the Rain; On the Town; Bells are Ringing; The Band Wagon; Billion Dollar Baby; Good News; Wonderful Town,,,,,Her Majesty's Theatre; Village Vanguard; Michael's Pub,"London, England; New York",[],"[""Adolph Green"", ""Ben Hecht"", ""Betty Comden"", ""Charles MacArthur"", ""Cy Coleman"", ""Fred Astaire"", ""Gene Kelly"", ""George Abbott"", ""George Kaufman"", ""Jean Hagen"", ""Jerome Robbins"", ""John Barrymore"", ""Judy Holliday"", ""Jule Styne"", ""Leonard Bernstein"", ""Moss Hart"", ""Nanette Fabray"", ""Oscar Levant"", ""Phyllis Newman""]","{""director"": [""George Abbott""], ""actors"": [""John Barrymore"", ""Phyllis Newman"", ""Judy Holliday"", ""Nanette Fabray"", ""Oscar Levant"", ""Fred Astaire"", ""Gene Kelly"", ""Jean Hagen""], ""playwright"": [""Betty Comden"", ""Adolph Green"", ""Moss Hart"", ""George Kaufman"", ""Ben Hecht"", ""Charles MacArthur""], ""composer_lyricist"": [""Betty Comden"", ""Adolph Green"", ""Leonard Bernstein"", ""Jule Styne"", ""Cy Coleman""], ""musical_director"": [], ""choreographer"": [""Jerome Robbins""], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [""Betty Comden"", ""Adolph Green""], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""On the Twentieth Century"", ""venue"": [""Her Majesty's Theatre""], ""city"": [""London, England""]}, {""order"": ""2"", ""production_title"": ""Twentieth Century""}, {""order"": ""3"", ""production_title"": ""The Front Page"", ""actors"": [""John Barrymore""], ""playwright"": [""Moss Hart"", ""Ben Hecht"", ""Charles MacArthur""]}, {""order"": ""4"", ""production_title"": ""Singin' in the Rain""}, {""order"": ""5"", ""production_title"": ""On the Town"", ""choreographer"": [""Jerome Robbins""]}, {""order"": ""6"", ""production_title"": ""Bells are Ringing"", ""actors"": [""Phyllis Newman""]}, {""order"": ""7"", ""production_title"": ""The Band Wagon"", ""venue"": [""Village Vanguard""], ""director"": [""George Abbott""], ""actors"": [""Nanette Fabray"", ""Oscar Levant""]}, {""order"": ""8"", ""production_title"": ""Billion Dollar Baby""}, {""order"": ""9"", ""production_title"": ""Good News""}, {""order"": ""10"", ""production_title"": ""Wonderful Town"", ""venue"": [""Michael's Pub""], ""composer_lyricist"": [""Jule Styne"", ""Cy Coleman""]}]",[],1311
1980-03-23-putting-paid-to-othello,/reviews/1980-03-23-putting-paid-to-othello/,1980.03.23.Cushman_Collected.Putting_Paid_to_Othello.md,Putting Paid To 'Othello',1980-03-23,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Othello; On the Twentieth Century; Make and Break; The Streets of London,,,,National Theatre,Olivier Theatre,"London, England",[],"[""Adolph Green"", ""Ben Hecht"", ""Betty Comden"", ""Charles MacArthur"", ""Cy Coleman"", ""David Healy"", ""Dion Boucicault"", ""Felicity Kendal"", ""Fred Evans"", ""Harold Prince"", ""James Grout"", ""Julia McKenzie"", ""Keith Michell"", ""Larry Fuller"", ""Leonard Rossiter"", ""Mark Dignam"", ""Michael Blakemore"", ""Michael Bryant"", ""Michael Frayn"", ""Michael Gambon"", ""Pamela Salem"", ""Paul Scofield"", ""Penelope Wilton"", ""Peter Coe"", ""Peter Hall"", ""Robin Wagner"", ""Stephen Moore"", ""William Shakespeare"", ""Yvonne Bryceland""]","{""director"": [], ""actors"": [], ""playwright"": [""Michael Frayn""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Othello"", ""director"": [""Peter Hall""], ""actors"": [""Paul Scofield"", ""Felicity Kendal"", ""Michael Bryant"", ""Yvonne Bryceland"", ""Stephen Moore"", ""Michael Gambon"", ""Penelope Wilton"", ""Mark Dignam""], ""playwright"": [""William Shakespeare""]}, {""order"": ""2"", ""production_title"": ""On the Twentieth Century"", ""director"": [""Peter Coe"", ""Harold Prince""], ""actors"": [""Julia McKenzie"", ""Keith Michell"", ""David Healy"", ""Fred Evans""], ""playwright"": [""Betty Comden"", ""Adolph Green"", ""Ben Hecht"", ""Charles MacArthur""], ""composer_lyricist"": [""Cy Coleman"", ""Betty Comden"", ""Adolph Green""], ""choreographer"": [""Larry Fuller""], ""set_designer"": [""Robin Wagner""]}, {""order"": ""3"", ""production_title"": ""Make and Break"", ""director"": [""Michael Blakemore""], ""actors"": [""Leonard Rossiter"", ""Pamela Salem"", ""James Grout""], ""playwright"": [""Michael Frayn""]}, {""order"": ""4"", ""production_title"": ""The Streets of London"", ""playwright"": [""Dion Boucicault""]}]",[],1194
1980-03-30-solving-the-problems-of-faustus,/reviews/1980-03-30-solving-the-problems-of-faustus/,1980.03.30.The_Observer.Solving_The_Problems_Of_Faustus.md,Solving The Problems Of Faustus,1980-03-30,1980,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,Dr Faustus; Threads; For Whom the Bell Chimes; The Summer Party,,,,,Fortune Theatre,"London, England; Leicester; Sheffield",[],"[""Christopher Fettes"", ""Christopher Marlowe"", ""Claire Nielson"", ""Derek Smith"", ""Dexter Fletcher"", ""Graham Greene"", ""James Aubrey"", ""John Byrne"", ""Pat Doyle"", ""Patrick Magee"", ""Robbie Coltrane"", ""Roy Macready"", ""Stephen Poliakoff""]","{""director"": [""Christopher Fettes""], ""actors"": [""James Aubrey"", ""Patrick Magee"", ""Pat Doyle"", ""Robbie Coltrane"", ""Claire Nielson"", ""Roy Macready"", ""Derek Smith"", ""Dexter Fletcher""], ""playwright"": [""Christopher Marlowe"", ""John Byrne"", ""Graham Greene"", ""Stephen Poliakoff""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Dr Faustus"", ""director"": [""Christopher Fettes""], ""actors"": [""James Aubrey"", ""Patrick Magee""], ""playwright"": [""Christopher Marlowe""]}, {""order"": ""2"", ""production_title"": ""Threads"", ""actors"": [""Pat Doyle"", ""Robbie Coltrane"", ""Claire Nielson""], ""playwright"": [""John Byrne""]}, {""order"": ""3"", ""production_title"": ""For Whom the Bell Chimes"", ""city"": [""Leicester""], ""actors"": [""Roy Macready""], ""playwright"": [""Graham Greene""]}, {""order"": ""4"", ""production_title"": ""The Summer Party"", ""city"": [""Sheffield""], ""actors"": [""Dexter Fletcher""], ""playwright"": [""Stephen Poliakoff""]}]",[],1152
1980-04-06-on-the-razor-s-edge,/reviews/1980-04-06-on-the-razor-s-edge/,1980.04.06.The_Observer.On_The_Razor_s_Edge.md,On The Razor's Edge,1980-04-06,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Hamlet,,,,Royal Court Theatre,Royal Court Theatre,"London, England",[],"[""Christopher Logue"", ""Dearbhla Molloy"", ""Eugene O'Neill"", ""Harriet Walter"", ""J. G. Devlin"", ""Jill Bennett"", ""Jonathan Pryce"", ""Michael Bogdanov"", ""Michael Pennington"", ""Norman Rodway"", ""Richard Eyre"", ""Sean O'Casey"", ""William Dudley"", ""William Shakespeare""]","{""director"": [""Richard Eyre"", ""Michael Bogdanov""], ""actors"": [""Jonathan Pryce"", ""Jill Bennett"", ""Harriet Walter"", ""Christopher Logue"", ""Michael Pennington"", ""Norman Rodway"", ""Dearbhla Molloy"", ""J. G. Devlin""], ""playwright"": [""William Shakespeare"", ""Sean O'Casey"", ""Eugene O'Neill""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [""William Dudley""], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],1073
1980-04-13-bam-goes-shakespeare,/reviews/1980-04-13-bam-goes-shakespeare/,1980.04.13.Cushman_Collected.BAM_Goes_Shakespeare.md,Bam Goes Shakespeare,1980-04-13,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,The Winter's Tale; Johnny on the Spot; Scrambled Feet; Betrayal; Whose Life Is It Anyway?; Peter Pan; Sugar Babies; Strider; Talley's Folly,,,,,Brooklyn Academy of Music,"New York; Brooklyn; London, England",[],"[""Ann Miller"", ""Ben Hecht"", ""Brian Clark"", ""Charles MacArthur"", ""David Jones"", ""Eugene O'Neill"", ""Frank Dunlop"", ""Harold Pinter"", ""Jerome Robbins"", ""Joe Morton"", ""Lanford Wilson"", ""Leo Tolstoy"", ""Marti Maraden"", ""Mary Tyler Moore"", ""Mickey Rooney"", ""Sandy Duncan"", ""Sheila Allen"", ""Taina Elg"", ""Tom Conti"", ""William Shakespeare""]","{""director"": [""Frank Dunlop""], ""actors"": [""Mary Tyler Moore"", ""Tom Conti""], ""playwright"": [""Harold Pinter"", ""Brian Clark""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""The Winter's Tale"", ""director"": [""David Jones""], ""actors"": [""Joe Morton"", ""Marti Maraden"", ""Sheila Allen""], ""playwright"": [""William Shakespeare""]}, {""order"": ""2"", ""production_title"": ""Johnny on the Spot"", ""playwright"": [""Eugene O'Neill"", ""Charles MacArthur"", ""Ben Hecht""]}, {""order"": ""3"", ""production_title"": ""Scrambled Feet"", ""venue"": [""Village Gate""]}, {""order"": ""4"", ""production_title"": ""Betrayal""}, {""order"": ""5"", ""production_title"": ""Whose Life Is It Anyway?""}, {""order"": ""6"", ""production_title"": ""Peter Pan"", ""director"": [""Jerome Robbins""], ""actors"": [""Sandy Duncan""], ""choreographer"": [""Jerome Robbins""]}, {""order"": ""7"", ""production_title"": ""Sugar Babies"", ""actors"": [""Ann Miller"", ""Mickey Rooney""]}, {""order"": ""8"", ""production_title"": ""Strider"", ""venue"": [""Chelsea Theatre Centre""], ""actors"": [""Taina Elg""], ""playwright"": [""Leo Tolstoy""]}, {""order"": ""9"", ""production_title"": ""Talley's Folly"", ""playwright"": [""Lanford Wilson""]}]",[],1176
1980-04-20-an-excellent-experience,/reviews/1980-04-20-an-excellent-experience/,1980.04.20.The_Observer.An_Excellent_Experience.md,An Excellent Experience,1980-04-20,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Cymbeline; Twelfth Night; As You Like It; Private Lives; The Apple Tree; The Umbrellas of Cherbourg,,,,Shared Experience; Royal Shakespeare Company,"Lyric Studio, Hammersmith","London, England; Kingston",[],"[""Alan Strachan"", ""Cherie Lunghi"", ""Frank Stockton"", ""Geoffrey Hutchings"", ""Ian Collier"", ""Jenny Quayle"", ""Jerry Bock"", ""John Dicks"", ""John Woodvine"", ""Jules Feiffer"", ""Lesley Duff"", ""Maria Aitken"", ""Mark Twain"", ""Michael Jayston"", ""Mike Alfreds"", ""Norman Tyrrell"", ""Noël Coward"", ""Pam Ferris"", ""Raad Rawi"", ""Ruth Seglow"", ""Sheldon Harnick"", ""Terry Hands"", ""Tom Wilkinson"", ""William Shakespeare"", ""Willoughby Goddard""]","{""director"": [""Mike Alfreds"", ""Terry Hands"", ""Alan Strachan""], ""actors"": [""Raad Rawi"", ""Ruth Seglow"", ""John Dicks"", ""Pam Ferris"", ""Cherie Lunghi"", ""John Woodvine"", ""Willoughby Goddard"", ""Geoffrey Hutchings"", ""Norman Tyrrell"", ""Tom Wilkinson"", ""Ian Collier"", ""Jenny Quayle"", ""Maria Aitken"", ""Michael Jayston"", ""Lesley Duff""], ""playwright"": [""William Shakespeare"", ""Noël Coward"", ""Mark Twain"", ""Frank Stockton"", ""Jules Feiffer"", ""Sheldon Harnick"", ""Jerry Bock""], ""composer_lyricist"": [""Sheldon Harnick"", ""Jerry Bock""], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Cymbeline""}, {""order"": ""2"", ""production_title"": ""Twelfth Night""}, {""order"": ""3"", ""production_title"": ""As You Like It""}, {""order"": ""4"", ""production_title"": ""Private Lives""}, {""order"": ""5"", ""production_title"": ""The Apple Tree""}, {""order"": ""6"", ""production_title"": ""The Umbrellas of Cherbourg"", ""city"": [""Kingston""], ""actors"": [""Lesley Duff""], ""playwright"": [""Mark Twain"", ""Frank Stockton"", ""Jules Feiffer"", ""Sheldon Harnick"", ""Jerry Bock""], ""composer_lyricist"": [""Sheldon Harnick"", ""Jerry Bock""]}]",[],1276
1980-04-27-juliet-and-the-wild-one,/reviews/1980-04-27-juliet-and-the-wild-one/,1980.04.27.Cushman_Collected.Juliet_and_the_Wild_One.md,Juliet And The Wild One,1980-04-27,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Romeo and Juliet; Love on the Dole; Early Days; Creditors,,,,Royal Shakespeare Company; Royal Exchange Theatre; National Theatre,"Royal Exchange, Manchester; Cottesloe Theatre; New End Theatre","Stratford-upon-Avon; Manchester; London, England",[],"[""Alan Parnaby"", ""Alan Price"", ""Anton Lesser"", ""August Strindberg"", ""Barbara Flynn"", ""Brenda Bruce"", ""Carmel McSharry"", ""Chris Hunter"", ""David Storey"", ""Eric Thompson"", ""Jimmy Gardner"", ""Jocelyn Herbert"", ""Johanna Kirby"", ""John Bardon"", ""Jonathan Hyde"", ""Judy Buxton"", ""Lindsay Anderson"", ""Peter Machin"", ""Ralph Koltai"", ""Ralph Richardson"", ""Ron Daniels"", ""Ronald Gow"", ""Rosalind Knight"", ""Stephen Oliver"", ""William Shakespeare""]","{""director"": [], ""actors"": [], ""playwright"": [], ""composer_lyricist"": [""Alan Price""], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Romeo and Juliet"", ""venue"": [""Stratford-on-Avon""], ""director"": [""Ron Daniels""], ""actors"": [""Anton Lesser"", ""Jonathan Hyde"", ""Judy Buxton"", ""Chris Hunter"", ""Brenda Bruce"", ""Jimmy Gardner""], ""playwright"": [""William Shakespeare""], ""composer_lyricist"": [""Stephen Oliver""], ""set_designer"": [""Ralph Koltai""]}, {""order"": ""2"", ""production_title"": ""Love on the Dole"", ""venue"": [""Royal Exchange, Manchester""], ""city"": [""Manchester""], ""director"": [""Eric Thompson""], ""actors"": [""Rosalind Knight"", ""Johanna Kirby"", ""Carmel McSharry"", ""John Bardon"", ""Alan Parnaby""], ""playwright"": [""Ronald Gow""]}, {""order"": ""3"", ""production_title"": ""Early Days"", ""director"": [""Lindsay Anderson""], ""actors"": [""Ralph Richardson"", ""Barbara Flynn"", ""Peter Machin""], ""playwright"": [""David Storey""], ""set_designer"": [""Jocelyn Herbert""]}, {""order"": ""4"", ""production_title"": ""Creditors"", ""playwright"": [""August Strindberg""]}]",[],1236
1980-05-04-inside-pinter-s-hothouse,/reviews/1980-05-04-inside-pinter-s-hothouse/,1980.05.04.The_Observer.Inside_Pinter_s_Hothouse.md,Inside Pinter's Hothouse,1980-05-04,1980,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,The Hothouse; The Dresser; Blood Black and Gold; Hay Fever,,,,Royal Exchange Theatre; Lyric Hammersmith,Hampstead Theatre,"London, England; Manchester",[],"[""Angela Pleasence"", ""Braham Murray"", ""Constance Cummings"", ""Derek Newark"", ""Dilys Hamlett"", ""Freddie Jones"", ""Gerard McLarnon"", ""Harold Pinter"", ""James Grant"", ""John Le Mesurier"", ""Lockwood West"", ""Mary Griffiths"", ""Michael Blakemore"", ""Michael Elliott"", ""Moray Watson"", ""Nick Stringer"", ""Noël Coward"", ""Polly Adams"", ""Ronald Harwood"", ""Tom Courtenay""]","{""director"": [""Harold Pinter"", ""Michael Elliott"", ""Braham Murray"", ""Michael Blakemore""], ""actors"": [""Derek Newark"", ""James Grant"", ""Angela Pleasence"", ""Tom Courtenay"", ""Freddie Jones"", ""Lockwood West"", ""Nick Stringer"", ""Dilys Hamlett"", ""Constance Cummings"", ""John Le Mesurier"", ""Moray Watson"", ""Polly Adams"", ""Mary Griffiths""], ""playwright"": [""Harold Pinter"", ""Ronald Harwood"", ""Gerard McLarnon"", ""Noël Coward""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""The Hothouse"", ""director"": [""Harold Pinter""], ""actors"": [""Derek Newark"", ""James Grant"", ""Angela Pleasence""], ""playwright"": [""Harold Pinter""]}, {""order"": ""2"", ""production_title"": ""The Dresser"", ""director"": [""Michael Elliott""], ""actors"": [""Freddie Jones"", ""Lockwood West"", ""Tom Courtenay""], ""playwright"": [""Ronald Harwood""]}, {""order"": ""3"", ""production_title"": ""Blood Black and Gold"", ""city"": [""Manchester""], ""director"": [""Braham Murray""], ""actors"": [""Nick Stringer"", ""Dilys Hamlett""], ""playwright"": [""Gerard McLarnon""]}, {""order"": ""4"", ""production_title"": ""Hay Fever"", ""company"": [""Lyric Hammersmith""], ""director"": [""Michael Blakemore""], ""actors"": [""Constance Cummings"", ""John Le Mesurier"", ""Moray Watson"", ""Polly Adams"", ""Mary Griffiths""], ""playwright"": [""Noël Coward""]}]",[],1233
1980-05-11-snobs-of-every-class,/reviews/1980-05-11-snobs-of-every-class/,1980.05.11.The_Observer.Snobs_Of_Every_Class.md,Snobs Of Every Class,1980-05-11,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,The Last of Mrs Cheyney; The Merry Wives of Windsor; Towards a Nuclear Future; The Devil Himself,,,,,Chichester Festival Theatre; Aldwych Theatre; ICA,"Chichester; London, England",[],"[""Alan Rickman"", ""Ben Kingsley"", ""Benjamin Whitrow"", ""Bob Peck"", ""Carl Davis"", ""Charles Keating"", ""Dilys Laye"", ""Elspeth March"", ""Frank Wedekind"", ""Frederick Lonsdale"", ""Geoffrey Hutchings"", ""Joan Collins"", ""John Caird"", ""John Napier"", ""John Woodvine"", ""Lila Kaye"", ""Liz da Costa"", ""Patrick Godfrey"", ""Patrick Lau"", ""Peter Barnes"", ""Pip Simmons"", ""Simon Williams"", ""Tina Marian"", ""Trevor Nunn"", ""William Shakespeare""]","{""director"": [], ""actors"": [], ""playwright"": [""William Shakespeare""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""The Last of Mrs Cheyney"", ""city"": [""Chichester""], ""director"": [""Patrick Lau""], ""actors"": [""Joan Collins"", ""Simon Williams"", ""Elspeth March"", ""Benjamin Whitrow""], ""playwright"": [""Frederick Lonsdale""]}, {""order"": ""2"", ""production_title"": ""The Merry Wives of Windsor"", ""city"": [""London, England""], ""director"": [""Trevor Nunn"", ""John Caird""], ""actors"": [""Patrick Godfrey"", ""Bob Peck"", ""John Woodvine"", ""Ben Kingsley"", ""Lila Kaye"", ""Geoffrey Hutchings""], ""set_designer"": [""John Napier""]}, {""order"": ""3"", ""production_title"": ""Towards a Nuclear Future"", ""venue"": [""ICA""], ""playwright"": [""Pip Simmons""]}, {""order"": ""4"", ""production_title"": ""The Devil Himself"", ""venue"": [""Lyric Studio""], ""actors"": [""Tina Marian"", ""Charles Keating"", ""Dilys Laye"", ""Alan Rickman""], ""playwright"": [""Frank Wedekind"", ""Peter Barnes""], ""composer_lyricist"": [""Carl Davis""], ""set_designer"": [""Liz da Costa""]}]",[],1153
1980-05-18-return-of-the-crock,/reviews/1980-05-18-return-of-the-crock/,1980.05.18.The_Observer.Return_Of_The_Crock.md,Return Of The Crock,1980-05-18,1980,The Observer,Theatre Review,"[""UK Collection""]",publish,clean_manual_transcription,,The Browning Version,,,,Royal Shakespeare Company,Lyttelton Theatre,"London, England",[],"[""Aeschylus"", ""Alec McCowen"", ""Andrew Vishnevski"", ""Barry Kyle"", ""Beaumont and Fletcher"", ""Carl Toms"", ""Domini Blythe"", ""Geraldine McEwan"", ""John Carlisle"", ""Judith Bland"", ""Mark Eden"", ""Michael Rudman"", ""Michel de Ghelderode"", ""Nicky Henson"", ""Raymond Westwell"", ""Rob Edwards"", ""Robert Holman"", ""Sinead Cusack"", ""Terence Rattigan"", ""Tom Wilkinson""]","{""director"": [""Michael Rudman"", ""Barry Kyle"", ""Andrew Vishnevski""], ""actors"": [""Alec McCowen"", ""Geraldine McEwan"", ""Nicky Henson"", ""John Carlisle"", ""Rob Edwards"", ""Tom Wilkinson"", ""Raymond Westwell"", ""Sinead Cusack"", ""Domini Blythe"", ""Mark Eden""], ""playwright"": [""Terence Rattigan"", ""Aeschylus"", ""Beaumont and Fletcher"", ""Michel de Ghelderode"", ""Robert Holman""], ""composer_lyricist"": [], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [""Carl Toms"", ""Judith Bland""], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}",[],[],1213
1980-05-25-friends-romans-the-lot,/reviews/1980-05-25-friends-romans-the-lot/,1980.05.25.Cushman_Collected.Friends_Romans_The_Lot.md,"Friends, Romans, The Lot",1980-05-25,1980,The Observer,Theatre Review,"[""The Shakespeare Collection"", ""UK Collection""]",publish,clean_manual_transcription,,Julius Caesar; Barnardo; Seduced; Murieta,,,,Theatermanufaktur,Riverside Studios,"London, England",[],"[""Ernest Maxin"", ""John Arnatt"", ""John Price"", ""John Shrapnel"", ""Lindsay Duncan"", ""Michael Byrne"", ""Pablo Neruda"", ""Peter Gill"", ""Robert Flemyng"", ""Sam Shepard"", ""William Shakespeare""]","{""director"": [""Peter Gill"", ""Ernest Maxin""], ""actors"": [""John Shrapnel"", ""Robert Flemyng"", ""Michael Byrne"", ""John Price"", ""Lindsay Duncan"", ""John Arnatt""], ""playwright"": [""William Shakespeare"", ""Sam Shepard"", ""Pablo Neruda""], ""composer_lyricist"": [""Ernest Maxin""], ""musical_director"": [], ""choreographer"": [], ""orchestrator"": [], ""arranger"": [], ""assistant_director"": [], ""stage_manager"": [], ""assistant_musical_director"": [], ""vocal_director"": [], ""dance_captain"": [], ""fight_director"": [], ""dramaturg"": [], ""producer"": [], ""set_designer"": [], ""costume_designer"": [], ""lighting_designer"": [], ""sound_designer"": [], ""musicians"": [], ""performers"": [], ""artists"": []}","[{""order"": ""1"", ""production_title"": ""Julius Caesar"", ""venue"": [""Riverside Studios""], ""director"": [""Peter Gill""], ""actors"": [""John Shrapnel"", ""Robert Flemyng"", ""Michael Byrne"", ""John Price"", ""Lindsay Duncan""], ""playwright"": [""William Shakespeare""]}, {""order"": ""2"", ""production_title"": ""Barnardo"", ""city"": [""London, England""], ""director"": [""Ernest Maxin""], ""actors"": [""John Arnatt""], ""composer_lyricist"": [""Ernest Maxin""]}, {""order"": ""3"", ""production_title"": ""Seduced"", ""playwright"": [""Sam Shepard""]}, {""order"": ""4"", ""production_title"": ""Murieta"", ""company"": [""Theatermanufaktur""], ""playwright"": [""Pablo Neruda""]}]",[],1215
